Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
7rFuXulG4qi129VYAREBf2,Hero,"Alan Walker, Sasha Alex Sloan",Walkerworld,2023-11-10,False,46,0.0289,0.596,0.733,1.13e-05,0.214,-7.082,0.03,126.007,0.0961,175271
1Spq8zrtMorUiWK0Yf3FWL,The Dream Machine,ARMA,Global Underground #44: Amelie Lens - Antwerp (Unmixed),2022-12-09,False,14,0.000486,0.453,0.754,0.879,0.132,-8.465,0.0349,134.008,0.0658,333134
5uI6QBvbOSqZYHMQ3Y54v0,Camino,NEON SHADOW,Global Underground #44: Amelie Lens - Antwerp (Unmixed),2022-12-09,False,15,0.288,0.765,0.929,0.897,0.14,-7.565,0.0482,131.018,0.342,335267
0jahIZFDmbASM6n2Fhlr0q,Smoking Clouds,AIROD,Global Underground #44: Amelie Lens - Antwerp (Unmixed),2022-12-09,False,13,0.0997,0.806,0.688,0.719,0.091,-9.185,0.0699,130.035,0.2,280774
4RawnebW4KRrhLNiDQOmGb,Sacuda,"Wisin, Los Legendarios","Multimillo, Vol. 1",2022-07-01,False,23,0.105,0.858,0.811,0.00106,0.254,-3.866,0.11,96.002,0.742,193440
1nfE2EYcayqAN8llXWu1ma,Cerramos los Ojos (feat. Los Legendarios),"Wisin, Gotay ""El Autentiko"", Chris Andrew, Los Legendarios","Multimillo, Vol. 1",2022-07-01,False,26,0.0722,0.72,0.694,0.002,0.0893,-4.258,0.129,179.953,0.501,207440
1NHnuko5D0e6SBGP5Mw2xC,Me Siento Bien,"Wisin, Chimbala, Los Legendarios","Multimillo, Vol. 1",2022-07-01,False,39,0.0176,0.801,0.739,9.29e-05,0.113,-3.846,0.131,94.996,0.521,256200
6pC6TW94GCOUwEj7ZchIk6,Feeling For You (feat. FARLEY),"CHANEY, FARLEY",Feeling For You (feat. FARLEY),2023-11-24,False,41,0.00449,0.68,0.875,7.44e-05,0.637,-5.429,0.117,125.975,0.691,226786
74BfFG9qR85KXxN49esFVA,Main Titles (You’ve Been Called Back to Top Gun),"Harold Faltermeyer, Lady Gaga, Hans Zimmer, Lorne Balfe",Top Gun: Maverick (Music From The Motion Picture),2022-05-27,False,63,0.0404,0.493,0.302,0.834,0.107,-12.478,0.0289,107.425,0.157,150667
4XGl23ZBBQQ7KD9uSpvswx,Danger Zone,Kenny Loggins,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,False,0,0.0697,0.553,0.887,0.0,0.186,-6.463,0.0387,156.767,0.687,215573
