Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
tú que ves en mí,5apMYRrfxC7o2YgeQo30i5,0.655,0.7,-8.493,0.155,0.396,0.021,0.114,0.429,175.976,165675
Esferas,318v1RtYEdM3NWA0ZsZltc,0.601,0.551,-9.179,0.104,0.632,0.01,0.383,0.473,163.873,207745
fall apart,2F7Lgq3RcsmvZ8xD4C6lry,0.734,0.717,-8.231,0.113,0.000211,4.12e-05,0.147,0.5,125.989,154286
Grace,5D9ne9N6AQz51aGZd21Z05,0.285,0.117,-28.695,0.0353,0.99,0.847,0.136,0.363,134.242,154468
Fate,1Gnq6I5W9wVEKRWZXjTjC4,0.534,0.0988,-25.496,0.0524,0.991,0.921,0.133,0.251,117.289,116071
Brise,5BsQ1oCPIGGMW6aheLj4de,0.543,0.0801,-26.949,0.0359,0.983,0.884,0.123,0.193,124.225,153456
EN 4,2xBuDFGbFc3NbUzCI8W4RW,0.734,0.73,-3.926,0.371,0.484,4.82e-05,0.116,0.537,195.894,191813
Party Encendido,24JgCDBVduwcrgtQUKpcLC,0.736,0.709,-4.336,0.396,0.511,1.09e-05,0.0861,0.628,192.069,184733
Deshidrato,6Sbv9Zabrkjt07ifGx4Qj0,0.868,0.727,-4.058,0.163,0.109,1.83e-05,0.121,0.583,91.974,191973
Horizon,3ardTKlR7VEELLh8iI3bpK,0.526,0.972,-2.023,0.054,0.00693,0.0734,0.364,0.155,115.998,180690
Chuleria en pote - Remix,0tYufROBZ8VaZ6nSGV1zBX,0.813,0.578,-7.687,0.103,0.152,0.0433,0.0879,0.66,102.012,164708
A puro dolor - Remix,0jP9KkL3KHOamGLwkWT72d,0.8,0.598,-7.703,0.108,0.115,3.7e-05,0.133,0.645,100.037,117600
La Camisa Negra - Remix,1Lg4dT1Yk1a8bhsjnz1cBM,0.714,0.624,-6.782,0.301,0.0563,0.0,0.0946,0.87,204.028,124706
Midnight (feat. Liam Payne),2hJcvSDeAmgoftVEeAuk1Y,0.587,0.648,-6.927,0.0439,0.0561,0.0,0.115,0.281,144.028,220141
Stack It Up (feat. A Boogie Wit da Hoodie),426utyJ4B1l4vi5i5ULU5k,0.743,0.812,-3.069,0.132,0.153,0.0,0.0713,0.606,100.05,165710
Remember,2uAX7DbFp5GWCkE1bpkUn4,0.675,0.606,-5.102,0.0285,0.297,0.0,0.23,0.317,103.968,189423
First minute of 28 looking for metaphors about daily living,3SMkND1Jt7Rzjzh4O0vINL,0.312,0.312,-25.99,0.153,0.976,0.847,0.373,0.431,81.827,73427
Naive,0W6PMFsnFpr8HUHKm6kWhD,0.349,0.0747,-27.989,0.0488,0.995,0.894,0.111,0.545,173.995,124125
Need,26LaHWy0JxFZ7SExpGYJUK,0.34,0.0775,-23.549,0.0444,0.995,0.956,0.101,0.213,100.012,140438
Ambient Eastern Flute Solo,410bqi03Q13Xn1HOe2yCy8,0.129,0.125,-18.143,0.0409,0.995,0.947,0.105,0.105,172.082,180067
Calm Middle Eastern Flute Solo,2FXnIhbKW4cFeEn76a4gAy,0.291,0.0567,-18.861,0.0475,0.996,0.742,0.0935,0.276,115.784,104167
Camel Ride in Egypt,4T7SpLtkUD5IjhoncZEARs,0.709,0.238,-14.329,0.0376,0.334,0.000761,0.102,0.343,119.959,182900
Besos con Fernet,1gAPIjqunPXRA4y1kYZi0q,0.742,0.692,-3.687,0.0469,0.179,0.0,0.188,0.897,100.03,148800
Brand New Day,4a9kGbaW3klAdEHsx7Q3jQ,0.362,0.882,-4.259,0.143,0.0154,0.0,0.085,0.427,190.078,201147
Fire,7Hjr124CfhS8HYAHJitVO4,0.71,0.946,-4.431,0.078,0.123,0.0,0.203,0.681,120.089,182227
Can't Back Down,2E1V6nbjINpLpiMaWMSYZ4,0.636,0.839,-4.384,0.0961,0.0847,0.0,0.1,0.658,120.035,199907
"Chapetona - Francisco Allendes, Pablito Pesadilla Remix",6RCwPJ2mYbapVc62qryGTC,0.817,0.988,-6.43,0.0637,0.0783,0.671,0.275,0.445,127.994,197813
ROZE | DJ TAO Turreo Sessions #22,5wcghdKONQcc5TKx9jCcns,0.814,0.63,-3.69,0.0881,0.0805,0.0,0.101,0.702,89.974,155292
Aeropuerto,0HeWjqONpLAHig0hf1dIgL,0.69,0.58,-4.395,0.199,0.0328,0.0,0.328,0.708,197.635,177627
Ambulancia,73oSZUOhgENWgpXS6Cas0t,0.822,0.613,-5.574,0.0465,0.386,0.0,0.269,0.852,132.023,212813
Bebiendo Sola,6wrG4jaPMy5hAoRzLBbAWR,0.574,0.667,-5.69,0.296,0.185,0.0,0.134,0.687,78.416,179067
