id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7HsebNHZDGj8UhWIrZaMx6,0.765,0.878,3,-3.649,0,0.0465,0.105,0.0,0.314,0.96,125.046,235733
7Bav9vC5ctdkMythpKostV,0.704,0.853,6,-4.109,0,0.554,0.128,0.0,0.181,0.725,167.789,173960
6E7pz6npdhV2noiFqp0v3l,0.951,0.597,4,-4.599,0,0.0501,0.00659,5.54e-06,0.138,0.925,111.989,159453
7GJVqqE79WOl8ncT7Y4z0L,0.76,0.71,9,-4.984,0,0.0428,0.205,0.0,0.349,0.707,111.957,184196
6ob621boKEDPUrWroJuoJS,0.799,0.72,10,-5.27,0,0.136,0.175,0.0,0.112,0.46,94.998,186508
7xqF5MczPpjW4NLXF2CL88,0.847,0.755,10,-3.991,1,0.175,0.137,6.68e-05,0.108,0.664,98.011,199592
5PrNsTfGhAxHcdg3AgqBNt,0.828,0.684,5,-4.297,1,0.0446,0.0115,0.0,0.0848,0.597,94.983,189919
0KczE8SbGW4jUrFhKBgfLi,0.471,0.543,0,-5.049,1,0.0304,0.701,0.0,0.0897,0.227,87.048,195886
7xomBTrSjam1stqLRYhvD0,0.637,0.724,6,-5.614,0,0.0619,0.0805,0.0,0.132,0.37,126.934,186440
398Kr7urUvmBVXvfUZZYiM,0.664,0.733,7,-5.408,1,0.0582,0.249,0.0,0.309,0.403,110.11,149227
1PtXtGJSDKTkB5urVEZ7rf,0.614,0.74,4,-5.031,0,0.0684,0.179,0.0,0.21,0.247,90.044,219752
1IbYD5V9zCvkPfIPcWqerO,0.584,0.787,1,-4.706,0,0.146,0.203,0.0,0.251,0.765,153.992,197375
20uXZyneJq8QjX8dPVI4ut,0.858,0.751,7,-5.254,1,0.218,0.0257,0.0439,0.0907,0.169,92.045,102680
17hUeO3yozyGyXFzpEIX6D,0.777,0.766,0,-3.546,0,0.064,0.0293,0.0,0.136,0.75,89.993,214626
1ltB37dxgQfYhz0JZTUdcf,0.756,0.896,7,-2.386,1,0.12,0.0434,0.0,0.518,0.87,96.026,176250
6YRUiDZ0Q7GECpQ4H4ffQj,0.782,0.84,1,-1.738,0,0.0708,0.301,0.0,0.181,0.658,105.898,168485
3PsHulD1zewglcTPcEPnlk,0.609,0.343,5,-7.93,1,0.0285,0.709,0.0,0.102,0.262,81.923,196261
7h3mCPlHYCPuSG93s7M3Xt,0.603,0.358,6,-9.972,0,0.0284,0.808,0.0,0.0801,0.427,95.833,134948
1uFAI2C6r3YBQmXCAPGzZv,0.747,0.669,1,-5.781,1,0.0409,0.478,0.0,0.0792,0.34,130.028,149538
78Kl2Yvf2XXEDXGFNXfYIr,0.579,0.308,7,-7.797,0,0.0648,0.707,3.06e-06,0.118,0.206,139.778,199702
5ZpjODX6OH1xZs3AOewTO6,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947
1KAhsLqLYiqCZ1G8ljKDtB,0.805,0.759,10,-5.198,0,0.0438,0.101,0.354,0.183,0.721,120.057,312533
7sm0mCPk9si3MQ8706IrOT,0.426,0.499,11,-8.306,1,0.0599,0.0738,0.0,0.407,0.296,179.83,228890
11AwO3WYjBnabDK9qiA30B,0.56,0.618,5,-5.175,0,0.232,0.0925,0.0,0.367,0.727,101.119,91960
2FhutoXqAKByw4f0A9Fq9y,0.49,0.579,4,-6.732,0,0.261,0.33,0.0,0.234,0.341,85.441,145413
6YV2AI87l1n2fzqU8Dyo05,0.402,0.514,1,-7.322,0,0.0471,0.106,0.0,0.181,0.2,120.009,251095
59ZmQR4pwCaa5iM3veM7Cs,0.646,0.605,0,-7.59,1,0.188,0.0636,0.0,0.253,0.309,90.156,141213
53lzKjlVaL7iyFwp1bphde,0.798,0.778,1,-6.428,1,0.0881,0.0452,0.000116,0.112,0.34,111.955,201795
0jhAsw5bb1pKJNO1XJV5Gs,0.698,0.663,5,-7.318,0,0.0498,0.35,1.67e-05,0.112,0.599,104.977,217103
0TzPcGalV2nb2LqRNDk543,0.576,0.699,1,-8.627,1,0.0586,0.191,1.19e-05,0.168,0.367,89.973,180004
6JpUHnddHwv9cJ6sFD0nzM,0.702,0.62,2,-7.077,1,0.166,0.0477,3.03e-05,0.118,0.0669,123.008,221777
0ktsBS1K53cTqoOBOPNtRB,0.522,0.0782,0,-21.935,1,0.0694,0.966,0.868,0.0813,0.549,136.532,51433
11UlaYHLHEVDoV1Vu1twMZ,0.83,0.707,1,-9.519,1,0.116,0.0597,0.341,0.104,0.925,96.03,144004
7z0gvrbNudxiGUJ3mga5XL,0.656,0.476,10,-9.33,1,0.0524,0.495,0.0,0.161,0.547,126.963,194000
3j9Hr6H4sWOVNSVNlsjCVz,0.613,0.586,8,-4.04,1,0.0643,0.682,0.0,0.217,0.612,79.994,187133
2Ysi49tRdVH74d1Cnc4o94,0.626,0.676,7,-3.178,1,0.0739,0.608,0.0,0.493,0.684,140.677,163560
054mLFn8Dtx8bIO85NYWYZ,0.725,0.784,2,-6.008,1,0.306,0.186,0.0,0.355,0.736,143.773,161695
7Afw4NNhLzcaJ0okcBN6gA,0.68,0.66,6,-4.467,0,0.216,0.303,0.0,0.341,0.352,163.978,188819
0HeWjqONpLAHig0hf1dIgL,0.69,0.58,0,-4.395,1,0.199,0.0328,0.0,0.328,0.708,197.635,177627
73oSZUOhgENWgpXS6Cas0t,0.822,0.613,7,-5.574,1,0.0465,0.386,0.0,0.269,0.852,132.023,212813
69ZzhvHnSSnzMO8SMYEJWb,0.751,0.661,9,-6.131,1,0.0871,0.124,0.0,0.456,0.761,120.052,147481
7eUlgmPmSCWjU1BwIQXX8s,0.629,0.733,0,-4.506,1,0.0659,0.0588,0.0,0.25,0.827,148.751,154888
7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600
0LbZLBBZI1NfaDgb4dx0UD,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933
5qf8lBMF49mfNILgF1TYTG,0.863,0.804,10,-4.346,0,0.0583,0.115,6.56e-05,0.235,0.725,103.042,147813
659U6YFHPlLckw6uzgywpW,0.819,0.84,0,-3.52,1,0.128,0.065,9.22e-05,0.104,0.695,111.034,186507
4BQQ72HXQh3FvbIP238zlT,0.819,0.627,9,-5.37,0,0.0598,0.145,0.0,0.178,0.515,137.87,159565
7B53HRqzTKqPm968y1Cg06,0.833,0.536,2,-5.936,0,0.189,0.803,0.0,0.0727,0.306,90.021,232333
2PKiEYh6qo91G59vyfAjoS,0.698,0.718,5,-6.421,0,0.142,0.197,0.0,0.327,0.585,116.677,133240
43mAtv7WycJP90AwgR4cH5,0.787,0.587,9,-6.828,0,0.137,0.0881,2.16e-06,0.111,0.695,104.121,175933
1NoxZc2x2Y7eX1U5wHj6hr,0.579,0.558,4,-10.443,0,0.0274,0.709,0.738,0.108,0.16,138.015,172844
0GQW2gDyxgT5IsNEM4osbJ,0.667,0.546,1,-8.633,0,0.0342,0.109,0.131,0.1,0.0892,131.986,284552
2bSaJE7jrTeDXW4bZB93Ji,0.638,0.524,1,-9.386,0,0.0291,0.181,2.68e-05,0.0672,0.318,110.039,250600
0WS0lo8m3IYFA5fG0LVHY4,0.433,0.276,6,-9.813,0,0.0339,0.769,1.96e-06,0.141,0.34,137.722,234027
74QeUWbmPFJQTgu8Hzym5I,0.701,0.75,9,-8.505,0,0.0745,0.173,0.000209,0.0723,0.686,149.965,165195
4O6jCUU0Un55TZ9FfZWSJh,0.681,0.626,0,-5.41,1,0.0365,0.00887,5.56e-06,0.0791,0.676,128.036,182085
3A40tu1GCl3iXuRfWyTmIs,0.69,0.806,1,-5.422,0,0.0362,0.288,2.91e-06,0.267,0.699,89.984,208122
6uUYmvgx6MDIK52vrcELU2,0.64,0.327,7,-4.0,0,0.0303,0.732,0.0,0.11,0.37,88.029,190909
